MLT_UTZTN_BSSH_SN,FRSTN_NM,CNTR_NM,CONM_NM,TPBIZ_NM,REG_DT,REG_YMD,REG_TM,REG_YR,REG_MM,REG_DAY,BDST_USG_NM,INSTL_DCLR_YMD,PFCMP_YMD,STTS_SCSN_YMD,CONM_ADDR,ROAD_NM,BLDG_NM,NLMBLT_MATRL_DSCTN,NLMBLT_INSTL_AREA,FRRST_CMDTY_NM,FRRST_INSTL_AREA,FLR_NO_NM,TRGTOBJ_NM,BLDG_SRTFRM_NM,BLDG_STRCTR_NM,CORP_YN,USE_YN
MU112020803666,용산소방서,현장대응단,갓포미르,일반음식점,20230205172938,20230205,172938,2023,02,05,복합건축물,20201116,20201208,,서울특별시 용산구 한강로2가 ,한강대로,국제빌딩,석고. 유리. 타일,1122.0,합판(방염도료),204.0,지상:28층 지하:4층,갓포미르,양식(옥),철근콘크리트조,,
MU112021806190,마포소방서,서교119안전센터,롤리(춤허용업소),일반음식점,20230205173959,20230205,173959,2023,02,05,근린생활시설,20211007,20211117,,서울특별시 마포구 서교동 ,와우산로17길,서교동빌딩,조적. 콘크리트,360.0,,,지상:5층 지하:1층,롤리(춤허용업소),양식(옥),철근콘크리트조,,
MU112022807064,용산소방서,이태원119안전센터,미니마이즈,제과점,20230205182647,20230205,182647,2023,02,05,근린생활시설,20220221,20220315,,서울특별시 용산구 이태원동 ,녹사평대로32길,,콘크리트. 석고. 유리,329.0,방염필름,31.0,지상:3층 지하:1층,미니마이즈,양식(옥),철근콘크리트조,,
MU482023384622,거제소방서,동부119안전센터,The Bay(더베이),일반음식점,20230205105706,20230205,105706,2023,02,05,근린생활시설,20220530,20230205,,경상남도 거제시 일운면 구조라리,거제대로,,석고12.5t. 타일. 유리. 콘크리트,630.0,MDF(방염필름 : 93.62),93.0,2층,더 베이 - 주1동동,양식(옥),철근콘크리트조,,Y
MU412023937973,,,리플로우 스타필드 고양점,일반음식점,20230206073507,20230206,073507,2023,02,06,,20230119,20230206,,경기도 고양시 덕양구 동산동 ,고양대로,고양 스타필드,콘크리트.석고등,1022.0,선처리(필름 / 선반 등),96.0,지하2/지상6,,양식(옥),기타,,Y
MU412023938079,하남소방서,신장119안전센터,앤드테라스 하남점,휴게음식점,20230206091855,20230206,091855,2023,02,06,,20230102,20230206,,경기도 하남시 신장동 ,미사대로,,콘크리트.방화석고.석고.유리.조적.타일,3261.0,도료.필름,170.0,5/3,,양식(옥),철근콘크리트조,,Y
MU412023938217,시흥소방서,은행119안전센터,키즈키득,키즈카페업,20230213081644,20230213,081644,2023,02,13,,20230206,20230213,,경기도 시흥시 배곧동 ,서울대학로278번길,서영베니스스퀘어,석고보드.콘크리트.유리,202.0,,,2/8,,양식(옥),철근콘크리트조,,Y
MU472023240713,포항남부소방서,구룡포119안전센터,횟집 진,일반음식점,20230213081113,20230213,081113,2023,02,13,근린생활시설,20230206,20230213,,경상북도 포항시 남구 구룡포읍 구룡포리,호미로,,석고보드. 타일. 유리. 철재,496.0,방염필름. 방염도료,104.0,3,그린대게 횟집 - 주건축물제1동동,양식(옥),철근콘크리트조,,Y
MU422023232050,원주소방서,학성119안전센터,황금말PC,인터넷컴퓨터게임시설제공업(PC방),20230213093216,20230213,093216,2023,02,13,,20230110,20230213,,강원특별자치도 원주시 학성동 ,평원로,,콘크리트. 조적조. 내화판넬. 샷시. 유리,487.0,,,지하1/지상4,,양식(옥),철골조,,Y
MU412023938047,용인소방서,구갈119안전센터,스타벅스커피수원IC DT점,휴게음식점,20230315142757,20230315,142757,2023,03,15,근린생활시설,20230112,20230201,,경기도 용인시 기흥구 영덕동 ,중부대로,,석고. 금속. 유리. 콘크리트. 타일. 방화석고,1006.0,MDF방염도료 146.29 / 선처리(필름) 4.08,150.0,0/2,,양식(옥),철근콘크리트조,Y,Y
