MLT_UTZTN_BSSH_SN,FRSTN_NM,CNTR_NM,CONM_NM,TPBIZ_NM,REG_DT,REG_YMD,REG_TM,REG_YR,REG_MM,REG_DAY,BDST_USG_NM,INSTL_DCLR_YMD,PFCMP_YMD,STTS_SCSN_YMD,CONM_ADDR,ROAD_NM,BLDG_NM,NLMBLT_MATRL_DSCTN,NLMBLT_INSTL_AREA,FRRST_CMDTY_NM,FRRST_INSTL_AREA,FLR_NO_NM,TRGTOBJ_NM,BLDG_SRTFRM_NM,BLDG_STRCTR_NM,CORP_YN,USE_YN
MU412009118079,의정부소방서,남면119안전센터,나나,일반음식점,20230221094146,20230221,094146,2023,02,21,,,20160701,,경기도 의정부시 의정부동 ,신흥로231번길,,석고보드.타일,,,,4/1,,양식(옥),철근콘크리트조,,Y
MU412009127802,송탄소방서,신장119안전센터,MBC 노래연습장,노래연습장업,20231122081803,20231122,081803,2023,11,22,근린생활시설,,20010705,20231114,경기도 평택시 서정동 ,특구로43번길,,,,,,3,,양식(옥),철근콘크리트조,,Y
MU412009117758,안양소방서,부림119안전센터,백운축산소한마리정육식당,일반음식점,20231031161743,20231031,161743,2023,10,31,,,20040904,,경기도 안양시 동안구 호계동 ,평촌대로223번길,동안상가,,,합판.MDF,136.0,2/5,,양식(옥),철근콘크리트조,,Y
MU412009118633,포천소방서,소흘119안전센터,가산흑염소,일반음식점,20231012101639,20231012,101639,2023,10,12,,,20070629,20191106,경기도 포천시 소흘읍 송우리,호국로,정우빌딩,석고. 유리. 타일등,601.0,목재류(합판.MDF),98.0,지상2층,,양식(옥),철근콘크리트조,,Y
MU412009118356,시흥소방서,시흥119안전센터,신세기노래연습장,노래연습장업,20230720112357,20230720,112357,2023,07,20,,,20100128,20230718,경기도 시흥시 정왕동 ,정왕천로411번길,,석고유리,381.0,합판,58.0,1/3,,양식(옥),철근콘크리트조,,Y
MU412009118721,시흥소방서,시흥119안전센터,씨월드 노래연습장,노래연습장업,20230731150732,20230731,150732,2023,07,31,복합건축물,,20070528,20211102,경기도 시흥시 월곶동 ,월곶해안로,,,,MDF,136.0,1/6,일진프라자 - 일진프라자동,양식(옥),철근콘크리트조,,Y
MU412009128698,안양소방서,귀인119안전센터,놀이터 노래광장 바,유흥주점,20230707182345,20230707,182345,2023,07,07,,,19970306,,경기도 안양시 동안구 호계동 ,경수대로,,,,,,1/5,,양식(옥),철근콘크리트조,,Y
MU412009117216,부천소방서,서부119안전센터,빙고 노래연습장,노래연습장업,20230428091540,20230428,091540,2023,04,28,근린생활시설,,20050706,20230428,경기도    경기도 부천시 원미구   경기도 부천시 원미구 중동  ,석천로183번길,럭스타운,합판.MDF,94.0,합판.MDF,,2/3,럭스타운(손윤배건물) - 럭스타운(손윤배건물)동,양식(옥),철근콘크리트조,,Y
MU412009129780,,,킹카킹카빠,유흥주점,20230223095639,20230223,095639,2023,02,23,,20040504,20040504,20230221,경기도 수원시 장안구 정자동 ,정자로,에이원보습학원,,,,,3/1,,양식(옥),철근콘크리트조,,Y
MU412009117104,안양소방서,부림119안전센터,딸기,유흥주점,20230426092135,20230426,092135,2023,04,26,,,20070319,,경기도 안양시 동안구 관양동 ,관평로182번길,삼일프라자빌딩,,,MDF,130.0,2/5,,양식(옥),철근콘크리트조,,Y
MU412009117107,안양소방서,부림119안전센터,짝노래빠,유흥주점,20231102153026,20231102,153026,2023,11,02,,,20070123,,경기도 안양시 동안구 관양동 ,관평로182번길,,,,합판,230.0,2/5,,양식(옥),철근콘크리트조,,Y
MU412009129061,부천소방서,중앙119안전센터,노래팡팡,유흥주점,20230710160934,20230710,160934,2023,07,10,,,20080131,20230223,경기도 부천시 심곡동 ,부천로66번길,,석고. 타일 등,501.0,합판,100.0,지하,강시태건물 - 강시태건물동,양식(옥),철근콘크리트조,,Y
MU412009129782,,,뮤노래빠,유흥주점,20230627142320,20230627,142320,2023,06,27,,20040619,20040619,20230619,경기도 수원시 장안구 정자동 ,정자로,에덴몬테소리어린이집,,,,,4/1,,양식(옥),철근콘크리트조,,Y
MU412009129785,,,오케이빠,유흥주점,20230901083219,20230901,083219,2023,09,01,,20051011,20051011,,경기도 수원시 장안구 정자동 ,장안로,수원혜성의원,,,,,4/1,혜성의원 - 혜성의원동,양식(옥),철근콘크리트조,,Y
MU412009129077,안양소방서,부림119안전센터,블랙 시크릿가든,일반음식점,20230619164425,20230619,164425,2023,06,19,,20070711,20070718,,경기도 안양시 동안구 호계동 ,평촌대로223번길,범계타워,원목,135.0,원목(성능인정 2007.6.20),,2/6,,양식(옥),철근콘크리트조,,Y
MU412009117803,부천소방서,119생활안전단,스마트PC,인터넷컴퓨터게임시설제공업(PC방),20230525142843,20230525,142843,2023,05,25,근린생활시설,,20080403,20230525,경기도    경기도 부천시 오정구   경기도 부천시 오정구 삼정동  ,중동로,,석고.유리.타일.벽돌등,289.0,MDF,16.0,1/3,황금프라자(김익동건물) - 황금프라자(김익동건물)동,양식(옥),철근콘크리트조,,Y
MU412009119172,시흥소방서,시흥119안전센터,코끼리유흥주점,유흥주점,20230728161109,20230728,161109,2023,07,28,,,20070817,20211221,경기도 시흥시 정왕동 ,서촌상가4길,,석고. 타일등,1019.0,MDF,319.0,1/10,,양식(옥),철근콘크리트조,,Y
MU412009117833,의정부소방서,양주119안전센터,올인,단란주점,20231118093811,20231118,093811,2023,11,18,,,20090520,20231110,경기도 의정부시 의정부동 ,호국로1332번길,,석고보드,,,,3/1,,양식(옥),철근콘크리트조,,Y
MU412009126551,군포소방서,산본119안전센터,로망커피숍,일반음식점,20230609141946,20230609,141946,2023,06,09,근린생활시설,,20070417,,경기도 군포시 산본동 ,군포로,대본빌딩,,,,,5,이근우건물 - 본동동,양식(옥),철근콘크리트조,,Y
MU412009126296,부천소방서,중동119안전센터,그린빌고시원,고시원업,20231103155440,20231103,155440,2023,11,03,,20101124,20101126,20231103,경기도 경기도 부천시 소사구 경기도 부천시 소사구 심곡본동 ,심곡로9번길,그린화인빌,석고.유리.콘크리트.ALC브럭 등,769.0,MDF,24.0,2/7,그린화인빌 - 그린화인빌동,양식(옥),철근콘크리트조,,Y
MU412009124119,,,유토피아노래,유흥주점,20230530140556,20230530,140556,2023,05,30,,,20070522,20230525,경기도 수원시 장안구 영화동 ,정조로921번길,,석고,,MDF,,1/4,,양식(옥),철근콘크리트조,,Y
MU412009126381,안양소방서,119생활안전단,바우라이브,단란주점,20230619165023,20230619,165023,2023,06,19,근린생활시설,,20071031,,경기도 안양시 만안구 안양동 ,박달로,,방염필,,,,1/4,이대영건물(바우라이브) - 이대영건물(바우라이브)동,양식(옥),철근콘크리트조,,Y
MU412009122182,의정부소방서,남면119안전센터,더 가라오케바(전/ 야시),단란주점,20230328070231,20230328,070231,2023,03,28,근린생활시설,,19960105,20210113,경기도 의정부시 의정부동 ,둔야로17번길,,,,,,2/9,JM건물(경정윤) - JM건물(경정윤)동,양식(옥),철근콘크리트조,,Y
MU412009126554,의정부소방서,양주119안전센터,뿅가단란주점,단란주점,20230724083318,20230724,083318,2023,07,24,근린생활시설,,20061110,20230721,경기도 의정부시 금오동 ,해오름3길,골드피아,,,합판. MDF,63.0,8/2,골드피아(골드피아건축물) - 골드피아(골드피아건축물)동,양식(옥),철근콘크리트조,,Y
MU412009126586,의정부소방서,양주119안전센터,흙,단란주점,20230719081943,20230719,081943,2023,07,19,근린생활시설,,20000629,20230718,경기도 의정부시 의정부동 ,평화로562번길,,,,합판,139.0,2/1,올인모텔구)동보여관 - 올인모텔구)동보여관동,양식(옥),철근콘크리트조,,Y
MU412009125175,시흥소방서,시흥119안전센터,뉴베트남노래클럽,유흥주점,20230607092502,20230607,092502,2023,06,07,,20000703,20000314,20230531,경기도 시흥시 정왕동 ,평안상가5길,안흥빌딩,,,카페트.벽체.천장등방염후처리,,5/2,,양식(옥),철근콘크리트조,,Y
MU412009122118,의정부소방서,남면119안전센터,대영노래연습장,노래연습장업,20230501085501,20230501,085501,2023,05,01,,,20030607,,경기도 의정부시 의정부동 ,경의로,삼성빌딩,,,,,8/1,,양식(옥),철근콘크리트조,,Y
MU412009125785,안성소방서,도기119안전센터,텐 노래연습장,노래연습장업,20230428172421,20230428,172421,2023,04,28,,20091022,20091022,,경기도 안성시 대덕면 내리,중앙대학로,,철근콘크리트. 벽돌. 석고. 유리. 타일,490.0,MDF 방염필름,74.0,2,,양식(옥),철근콘크리트조,,Y
MU412009121510,부천소방서,상동119안전센터,방앗간노래클럽,유흥주점,20231106140016,20231106,140016,2023,11,06,복합건축물,,20051123,20231023,경기도 경기도 부천시 원미구 경기도 부천시 원미구 상동 ,송내대로73번길,,합판.MDF,41.0,합판.MDF,,2/3,무궁화상가1차 - 무궁화상가1차동,양식(옥),철근콘크리트조,,Y
MU412009126541,용인소방서,백암119안전센터,브이아이피(VIP) 노래연습장,노래연습장업,20230912191611,20230912,191611,2023,09,12,근린생활시설,,20060723,20170829,경기도 용인시 처인구 원삼면 고당리,고당로15번길,,,,,,3,,양식(옥),철근콘크리트조,,Y
MU412009125072,용인소방서,모현119안전센터,매산,노래연습장업,20230602092110,20230602,092110,2023,06,02,,,20071026,20230602,경기도    경기도 용인시 처인구   경기도 용인시 처인구 모현면  경기도 용인시 처인구 모현면 매산리,문현로,매산유통할인점,석고 등,,,,2/0,,양식(옥),철근콘크리트조,,Y
MU412009121505,안성소방서,도기119안전센터,진비지니스빠,유흥주점,20230328091023,20230328,091023,2023,03,28,,,20070529,20140228,경기도 안성시 동본동 ,중앙로,,,,MDF(방염필름),65.0,2,,양식(옥),철근콘크리트조,,Y
MU412009126582,의정부소방서,송산119안전센터,탑노래연습장,노래연습장업,20230712181251,20230712,181251,2023,07,12,근린생활시설,,20031219,20230707,경기도 의정부시 용현동 ,시민로387번길,,,,,,3/1,,양식(옥),철근콘크리트조,,Y
MU412009126599,의정부소방서,양주119안전센터,주영단란주점,단란주점,20230801094715,20230801,094715,2023,08,01,근린생활시설,,20170110,,경기도 의정부시 의정부동 ,평화로562번길,,,,,,4/1,문광빌딩(바다휫집뒤) - 1동,양식(옥),철근콘크리트조,,Y
MU412009123969,의정부소방서,양주119안전센터,깨비노래장,유흥주점,20230303102327,20230303,102327,2023,03,03,위락시설,,20151022,20220913,경기도 의정부시 의정부동 ,평화로562번길,,석고. 조적. 유리,149.0,합판. MDF,122.0,5/1,성민빌딩구)우림빌딩(아리랑부페) - 성민빌딩구)우림빌딩(아리랑부페)동,양식(옥),철근콘크리트조,,Y
MU412009123970,의정부소방서,양주119안전센터,예스노래장,유흥주점,20230915094626,20230915,094626,2023,09,15,복합건축물,,20040506,20230914,경기도 의정부시 의정부동 ,평화로552번길,,,,합판. MDF,66.0,4/1,대성빌딩(김성자건축물) - 대성빌딩(김성자건축물)동,양식(옥),철근콘크리트조,,Y
MU412009122045,수원남부소방서,남부119안전센터,설수연라이브7080,일반음식점,20230103094245,20230103,094245,2023,01,03,근린생활시설,,20090524,20190110,경기도 수원시 팔달구 인계동 ,장다리로,,,,,,3/1,@메카건물 - 메카건물동,양식(옥),철근콘크리트조,,Y
MU412009126616,분당소방서,수내119안전센터,초콜릿노래연습장,노래연습장업,20230410102249,20230410,102249,2023,04,10,,,20010531,20210512,경기도 성남시 분당구 정자동 ,내정로129번길,,,,,,1/3,,양식(옥),철근콘크리트조,,Y
MU412009123964,의정부소방서,양주119안전센터,로또노래장,유흥주점,20231101100656,20231101,100656,2023,11,01,복합건축물,,20030311,20231030,경기도 의정부시 의정부동 ,평화로552번길,,,,합판,65.0,4/1,신양빌딩 - 신양빌딩동,양식(옥),철근콘크리트조,,Y
MU412009125839,안양소방서,119생활안전단,콘서트 노래연습장,노래연습장업,20230619164259,20230619,164259,2023,06,19,근린생활시설,,20200504,,경기도 안양시 만안구 안양동 ,안양로329번길,,,,방염필름,71.0,1/4,0976.김광석건물(구양갑석건물) - 양갑석건물동,양식(옥),철근콘크리트조,,Y
MU412009125866,용인소방서,동백119안전센터,뉴존노래연습장,노래연습장업,20230619090936,20230619,090936,2023,06,19,근린생활시설,,20040602,20230616,경기도 용인시 기흥구 언남동 ,구성로78번길,삼성빌딩,콘크리트. 석고. 유리 등,,,142.0,1/5,삼성리지프라자 - 삼성리지프라자동,양식(옥),철근콘크리트조,,Y
MU412009124260,안성소방서,죽산119안전센터,에덴블루CC클럽하우스,일반음식점,20230125083740,20230125,083740,2023,01,25,문화및집회시설,20090306,20090310,,경기도 안성시 죽산면 장능리,녹배길,에덴블루컨트리클럽,석고. 유리. 타일. 조적,3960.0,MDF 위 방염필름 및 도료,757.0,2/3,에덴블루C.C - 클럽하우스동,양식(옥),철근콘크리트조,Y,Y
MU412009129236,시흥소방서,시흥119안전센터,스타가요광장,유흥주점,20230607174212,20230607,174212,2023,06,07,,,20061120,20230411,경기도 시흥시 정왕동 ,평안상가2길,선경프라자,석고. 유리등,106.0,합판,103.0,0/4,선경프라자(구송학래건물) - 선경프라자(구송학래건물)동,양식(옥),철근콘크리트조,,Y
MU412009129200,시흥소방서,시흥119안전센터,청화대노래클럽,유흥주점,20230731154516,20230731,154516,2023,07,31,근린생활시설,,20090530,20220304,경기도 시흥시 정왕동 ,중심상가로,센타프라자,,,실애장식물,,5/2,,양식(옥),철근콘크리트조,,Y
MU412009130069,군포소방서,오금119안전센터,봄날한식뷔페,일반음식점,20231102091820,20231102,091820,2023,11,02,,,20050521,20231025,경기도 군포시 당정동 ,당정로,대명기계,,,,,1/2,대명기계 - 1동,양식(옥),철근콘크리트조,,Y
MU412009131079,부천소방서,중앙119안전센터,칸노래연습장,노래연습장업,20230927140008,20230927,140008,2023,09,27,복합건축물,20051019,20051019,20230927,경기도    경기도 부천시 원미구   경기도 부천시 원미구 심곡동  ,부천로39번길,,,,,,1/3,보명빌딩 - 보명빌딩동,양식(옥),철근콘크리트조,,Y
MU412009129124,군포소방서,오금119안전센터,미친소노래빠,유흥주점,20230309173037,20230309,173037,2023,03,09,복합건축물,20110823,20110823,20230206,경기도 군포시 산본동 ,산본로323번길,청운빌딩,콘크리트.석고보드.타일.유리,320.0,MDF(필름),54.0,2/8,청운빌딩 - 청운빌딩동,양식(옥),철근콘크리트조,,Y
MU412009129140,송탄소방서,신장119안전센터,제비노래연습장,노래연습장업,20231025082428,20231025,082428,2023,10,25,근린생활시설,,20071119,20231010,경기도 평택시 서정동 ,서정북로,,,,,,지하1,,양식(옥),철근콘크리트조,,Y
MU412009129254,군포소방서,오금119안전센터,피자헛산본점,일반음식점,20230309173051,20230309,173051,2023,03,09,근린생활시설,,20080304,,경기도 군포시 산본동 ,산본로323번길,,석고. 옹벽,1046.0,합판(도료).MDF(도료),,1/8,성진빌딩 - 성진빌딩동,양식(옥),철골철근콘크리트조,Y,Y
MU412009129459,부천소방서,중앙119안전센터,N노래바,단란주점,20230713155823,20230713,155823,2023,07,13,,,20070521,20220930,경기도 부천시 심곡동 ,부천로9번길,,,,,,1/4,영빌딩(LG25시건물) - 영빌딩동,양식(옥),철근콘크리트조,,Y
MU412009130017,수원남부소방서,남부119안전센터,뉴한강사우나,목욕장(찜질방),20230418144538,20230418,144538,2023,04,18,복합건축물,,20050415,,경기도 수원시 팔달구 인계동 ,권광로,선경리빙프라자,콘크리트. 석재. 유리,7022.0,？체. 천정. 문 100개소 방염후처리,565.0,5/19,선경리빙프라자 상가 - 선경리빙프라자동,양식(옥),철근콘크리트조,,Y
MU412009131002,수원소방서,파장119안전센터,젠틀노래연습장,노래연습장업,20231115175844,20231115,175844,2023,11,15,,,20050516,20231026,경기도 화성시 남양읍 남양리,남양성지로,,석고,143.0,불연제,48.0,2/5,,양식(옥),철근콘크리트조,,Y
MU412009129115,송탄소방서,신장119안전센터,짱구 2,노래연습장업,20230907081923,20230907,081923,2023,09,07,근린생활시설,,20040923,20230822,경기도 평택시 서정동 ,이충로,,,,,,지하1,,양식(옥),철근콘크리트조,,Y
MU412009129262,시흥소방서,시흥119안전센터,발리,단란주점,20230607173323,20230607,173323,2023,06,07,위락시설,,20060928,20230331,경기도 시흥시 정왕동 ,중심상가로,엘림빌딩,석고. 타일등,181.0,MDF,139.0,3,,양식(옥),철근콘크리트조,,Y
MU412009130027,수원남부소방서,남부119안전센터,에쿠스,유흥주점,20230705094618,20230705,094618,2023,07,05,복합건축물,,20041201,20151019,경기도 수원시 팔달구 인계동 ,인계로124번길,,,,벽체.천정 등,70.0,6/2,,양식(옥),철근콘크리트조,,Y
MU412009131032,안양소방서,부림119안전센터,고기싸롱 범계역점,일반음식점,20230126092304,20230126,092304,2023,01,26,,,20101010,,경기도 안양시 동안구 호계동 ,평촌일번가2로,,,,MDF,67.0,3/6,,양식(옥),철근콘크리트조,,N
MU412009129146,송탄소방서,신장119안전센터,써니노래연습장,노래연습장업,20230305231520,20230305,231520,2023,03,05,근린생활시설,,20070530,20230227,경기도 평택시 서정동 ,서정로,경성빌딩,,,,,3/1,,양식(옥),철근콘크리트조,,Y
MU412009129811,,,비엠더블유빠,유흥주점,20230702112123,20230702,112123,2023,07,02,,20041021,20041021,20230629,경기도 수원시 장안구 정자동 ,파장로,,,,,,5/1,,양식(옥),철근콘크리트조,,Y
MU412009129858,부천소방서,상동119안전센터,코딱지노래클럽,유흥주점,20230602205231,20230602,205231,2023,06,02,복합건축물,,20070910,20230601,경기도    경기도 부천시 원미구   경기도 부천시 원미구 상동  ,소향로13번길,,유리.석고등,373.0,MDF,84.0,8/3,맘모스타워(구. 맘모스프라자) - 맘모스타워(구. 맘모스프라자)동,양식(옥),철근콘크리트조,,Y
MU412009130980,시흥소방서,시흥119안전센터,장녹수가요주점,유흥주점,20230731155248,20230731,155248,2023,07,31,,20070521,20070522,20211209,경기도 시흥시 정왕동 ,중심상가로,금진빌딩,,,,,5/2,,양식(옥),철골철근콘크리트조,,Y
MU412009131243,여주소방서,119생활안전단,아싸노래빠,유흥주점,20230704101002,20230704,101002,2023,07,04,위락시설,20140527,20140605,20190416,경기도 여주시 홍문동 ,여흥로109번길,,타일.벽돌. 석고보드,374.0,MDF,132.0,1/3,,양식(옥),철근콘크리트조,,Y
MU412009129732,양평소방서,공흥119안전센터,개군노래주점,유흥주점,20230706082609,20230706,082609,2023,07,06,,20100817,20130430,20141211,경기도 양평군 개군면 하자포리,하자포길,,,,방염필름,43.0,0/2,,양식(옥),철근콘크리트조,,Y
MU412009129645,안양소방서,안양119안전센터,스타벅스안양일번가점,휴게음식점,20230406101148,20230406,101148,2023,04,06,,,20060710,,경기도 안양시 만안구 안양동 ,안양로292번길,,,,,,1/3,,양식(옥),철근콘크리트조,Y,Y
MU412009129279,시흥소방서,시흥119안전센터,다경노래광장,유흥주점,20230825155929,20230825,155929,2023,08,25,위락시설,,20030814,,경기도 시흥시 정왕동 ,평안상가2길,동선빌딩,,,실내장식물,,4,,양식(옥),철근콘크리트조,,Y
MU412009129460,부천소방서,중앙119안전센터,N노래바,유흥주점,20230713155633,20230713,155633,2023,07,13,,,20090521,20220930,경기도 부천시 심곡동 ,부천로9번길,,,,,,1/4,영빌딩(LG25시건물) - 영빌딩동,양식(옥),철근콘크리트조,,Y
MU412009125565,용인소방서,구갈119안전센터,e-편안리빙텔,고시원업,20230605151224,20230605,151224,2023,06,05,,,20080128,20230605,경기도 용인시 기흥구 구갈동 ,강남로,스카이프라자,,,,20.0,2/9,스카이프라자 - 스카이프라자동,양식(옥),철근콘크리트조,,Y
MU412009126258,안양소방서,귀인119안전센터,황제노래연습장,노래연습장업,20231018090836,20231018,090836,2023,10,18,,,20001205,,경기도 안양시 동안구 호계동 ,경수대로,,,,,,지하,,양식(옥),철근콘크리트조,,Y
MU412009129662,안양소방서,귀인119안전센터,영심이 노래주점,유흥주점,20230909181204,20230909,181204,2023,09,09,,,20050907,,경기도 안양시 동안구 호계동 ,엘에스로,,석고보드.유리,251.0,,,1/4,,양식(옥),철골철근콘크리트조,,Y
MU412009122820,송탄소방서,신장119안전센터,상상노래클럽,유흥주점,20230807093618,20230807,093618,2023,08,07,,,20020502,20230804,경기도 평택시 서정동 ,서정로,,,,,,3/1,,양식(옥),철근콘크리트조,,Y
MU412009125575,분당소방서,서현119안전센터,분당더팰리스 산후조리원,산후조리원,20230622103100,20230622,103100,2023,06,22,복합건축물,,20051118,20210224,경기도 성남시 분당구 수내동 ,황새울로200번길,,,,,,5/12,분당동부루트빌딩 - 분당동부루트빌딩동,양식(옥),철근콘크리트조,,Y
MU412009125075,시흥소방서,시흥119안전센터,처음하우스 정왕점(구/조이앤고시텔),고시원업,20230707085637,20230707,085637,2023,07,07,근린생활시설,,20200129,20230706,경기도 시흥시 정왕동 ,중심상가로,한라프라자,콘쿠리트. 석고. 유리등,1041.0,mdf,86.0,5/1,,양식(옥),철근콘크리트조,,Y
MU412009121731,용인소방서,이동119안전센터,화산CC클럽하우스,일반음식점,20230126153125,20230126,153125,2023,01,26,문화및집회시설,20070703,20070706,,경기도 용인시 처인구 이동면 화산리,화산로,화산C.C,,,합판1.2층,557.0,1/2,,양식(옥),철근콘크리트조,,Y
MU412009124205,안양소방서,부림119안전센터,진성장어,일반음식점,20230619164201,20230619,164201,2023,06,19,근린생활시설,,20060419,,경기도 안양시 동안구 평촌동 ,귀인로,,석고. 유리등,1223.0,합판.MDF,402.0,지상2,,양식(옥),철근콘크리트조,,Y
MU412009122037,동두천소방서,불현119안전센터,으뜸노래연습장,노래연습장업,20230330132010,20230330,132010,2023,03,30,판매시설,,20090524,,경기도 동두천시 생연동 ,,,,,,,1,김호정 건물 - 동명칭없음동,양식(옥),철근콘크리트조,,Y
MU412009122248,시흥소방서,시흥119안전센터,뉴활가요주점,유흥주점,20230731161906,20230731,161906,2023,07,31,근린생활시설,20070308,20070430,20190516,경기도 시흥시 정왕동 ,중심상가로,,석고. 유리등,254.0,MDF(07.03.07성적서발급),59.0,4,청한빌딩(청한기업(주)) - 청한빌딩(청한기업(주))동,양식(옥),철근콘크리트조,,Y
MU412009125347,시흥소방서,시흥119안전센터,시네마노래광장,유흥주점,20230731161814,20230731,161814,2023,07,31,위락시설,,20090331,20211027,경기도 시흥시 정왕동 ,옥구상가2길,,콘크리트. 석고. 타일등,214.0,MDF,43.0,3,,양식(옥),철근콘크리트조,,Y
MU412009126392,시흥소방서,은행119안전센터,달빛7080,유흥주점,20230921111012,20230921,111012,2023,09,21,근린생활시설,20090604,20090604,20230912,경기도 시흥시 신천동 ,수인로,백금빌딩,석고,286.0,,,1/4,백금건물 - 백금건물동,양식(옥),철근콘크리트조,,Y
MU412009121678,시흥소방서,시흥119안전센터,아리수노래광장,유흥주점,20230731162930,20230731,162930,2023,07,31,위락시설,,20070212,20220615,경기도 시흥시 정왕동 ,함송로14번길,,석고. 유리등,421.0,실내장식물(MDF),76.0,0/3,,양식(옥),철근콘크리트조,,Y
MU412009125631,시흥소방서,시흥119안전센터,야시노래광장,유흥주점,20230731161832,20230731,161832,2023,07,31,,,20101216,,경기도 시흥시 정왕동 ,옥구상가2길,,,,,,5,,양식(옥),철근콘크리트조,,Y
MU412009123224,시흥소방서,시흥119안전센터,미르노래광장,유흥주점,20230316173626,20230316,173626,2023,03,16,,,20090525,20230302,경기도 시흥시 정왕동 ,중심상가로,광장프라자,,,,,4,,양식(옥),철근콘크리트조,,Y
MU412009123228,송탄소방서,신장119안전센터,스테이라운지,유흥주점,20231025103331,20231025,103331,2023,10,25,근린생활시설,,20091125,20231013,경기도 평택시 신장동 ,쇼핑로9번길,,석고보드.유리,251.0,MDF,96.0,0/2,,양식(옥),철근콘크리트조,,Y
MU412009122133,파주소방서,금촌119안전센터,라온하우스,고시원업,20230915170818,20230915,170818,2023,09,15,근린생활시설,20081128,20081128,20230829,경기도 파주시 금촌동 ,금빛로,센터프라자,석고. 콘크리트. 유리 등,1236.0,MDF,41.0,8/3,센터프라자 - 센타프라자동,양식(옥),철근콘크리트조,,Y
MU412009122977,평택소방서,비전119안전센터,코리아노래장주점,유흥주점,20230110175635,20230110,175635,2023,01,10,근린생활시설,,20050601,20230110,경기도 평택시 비전동 ,평남로,,,,합판.MDF,252.0,2/7,대산빌딩 - (주)대산기업동,양식(옥),철근콘크리트조,,Y
MU412009124279,부천소방서,중앙119안전센터,김명주 뜰안채 밥상,일반음식점,20230705154919,20230705,154919,2023,07,05,근린생활시설,,20070511,20230622,경기도    경기도 부천시 원미구   경기도 부천시 원미구 춘의동  ,길주로560번길,,해당없음,,해당없음,,3,"춘의동 240-0 건물
 - 춘의동 240-0 건물
동",양식(옥),철근콘크리트조,,Y
MU412009124281,수원소방서,파장119안전센터,아쿠아노래클럽,유흥주점,20230728100020,20230728,100020,2023,07,28,,,20061103,20230114,경기도 화성시 남양읍 남양리,남양시장로55번길,,,568.0,필름,93.0,1/5,,양식(옥),철근콘크리트조,,Y
MU412009122996,평택소방서,비전119안전센터,발리,유흥주점,20230821160450,20230821,160450,2023,08,21,근린생활시설,,20020418,20230817,경기도 평택시 비전동 ,평택5로76번길,,,,MDF,111.0,0/2,이규호건물 - 이규호건물동,양식(옥),철근콘크리트조,,Y
MU412009126375,시흥소방서,은행119안전센터,필노래연습장,노래연습장업,20230731150043,20230731,150043,2023,07,31,근린생활시설,20101101,20101101,20121115,경기도 시흥시 신천동 ,신천3길,,콘크리트.석고.타일 등,363.0,MDF,88.0,1/3,,양식(옥),철근콘크리트조,,Y
MU412009126385,시흥소방서,은행119안전센터,가보자노래연습장,노래연습장업,20230731150108,20230731,150108,2023,07,31,근린생활시설,20101118,20101118,20210405,경기도 시흥시 신천동 ,신천로,,석고.유리 등,243.0,합판,12.0,2/0,유성상가 - 유성상가동,양식(옥),철근콘크리트조,,Y
MU412009122299,송탄소방서,신장119안전센터,편편집송탄점,일반음식점,20230421191255,20230421,191255,2023,04,21,근린생활시설,,20070118,20230413,경기도 평택시 서정동 ,관광특구로,,,,,,4,,양식(옥),철근콘크리트조,,Y
MU412009123976,군포소방서,산본119안전센터,두레박7080라이브(민속주점),단란주점,20230309174404,20230309,174404,2023,03,09,근린생활시설,,20081016,20230216,경기도 군포시 산본동 ,산본천로,최상원건물,콘크리트.석고,,합판(필름.도료),47.0,4,최상원건물 - 본동동,양식(옥),철근콘크리트조,,Y
MU412009126064,분당소방서,야탑119안전센터,J 노래연습장,노래연습장업,20230410101935,20230410,101935,2023,04,10,,,20060829,20120601,경기도 성남시 분당구 야탑동 ,장미로86번길,,,,,,1/5,,양식(옥),철근콘크리트조,,Y
MU412009125606,시흥소방서,시흥119안전센터,짱국적노래광장,유흥주점,20230731161827,20230731,161827,2023,07,31,근린생활시설,,20071008,20211006,경기도 시흥시 정왕동 ,옥구상가2길,동성프라자,석고.유리,,합판(07.10.05성적서발급),112.0,5,동성프라자 - 동성프라자동,양식(옥),철근콘크리트조,,Y
MU412009125292,분당소방서,구미119안전센터,주박사,일반음식점,20230803133011,20230803,133011,2023,08,03,,,20050325,,경기도 성남시 분당구 구미동 ,탄천상로,시그마2오피스텔,,,,,2/6,,양식(옥),철근콘크리트조,,Y
MU412009125743,분당소방서,야탑119안전센터,킹,단란주점,20231115180446,20231115,180446,2023,11,15,,,20070607,,경기도 성남시 분당구 야탑동 ,야탑로105번길,,,,,,1/5,,양식(옥),철근콘크리트조,,Y
MU412009126535,의정부소방서,양주119안전센터,골드,단란주점,20230526080657,20230526,080657,2023,05,26,복합건축물,,20090527,,경기도 의정부시 의정부동 ,태평로,미용학원,,,,,2/1,,양식(옥),철근콘크리트조,,Y
MU412009126260,,,세븐노래빠,유흥주점,20230706110524,20230706,110524,2023,07,06,,20050202,20050204,20230703,경기도 수원시 장안구 연무동 ,연무로42번길,,,,,,1/4,,양식(옥),철근콘크리트조,,Y
